CompanyName,CompanyNumber,RegAddress.CareOf,RegAddress.POBox,RegAddress.AddressLine1,RegAddress.AddressLine2,RegAddress.PostTown,RegAddress.County,RegAddress.Country,RegAddress.PostCode,CompanyCategory,CompanyStatus,CountryOfOrigin,DissolutionDate,IncorporationDate,SICCode.SicText_1,SICCode.SicText_2,SICCode.SicText_3,SICCode.SicText_4,URI
Longacre Partners PLC,01000029,,,24 Queens Road,,Cardiff,,United Kingdom,S1 8XU,Private Limited Company,Active,United Kingdom,,13/10/2005,64209 - Activities of other holding companies n.e.c.,,,,http://business.data.gov.uk/id/company/01000029
Ironbridge Enterprises LIMITED,01000030,,,230 Park View,,Sheffield,,United Kingdom,EH1 4RP,Private Limited Company,Active,United Kingdom,,16/09/2021,64209 - Activities of other holding companies n.e.c.,,,,http://business.data.gov.uk/id/company/01000030
Whitehall Trading LIMITED,01000031,,,4 Station Road,,Cardiff,,United Kingdom,M1 5UR,Private Limited Company,Active,United Kingdom,,20/06/2023,68209 - Other letting and operating of own or leased real estate,,,,http://business.data.gov.uk/id/company/01000031
Sterling Holdings LTD,01000032,,,92 Mill Lane,,Glasgow,,United Kingdom,B3 7XJ,Private Limited Company,Active,United Kingdom,,01/08/2008,70100 - Activities of head offices,,,,http://business.data.gov.uk/id/company/01000032
Ravensworth Holdings LIMITED,01000033,,,201 Bridge Street,,Leeds,,United Kingdom,L1 9PQ,Private Limited Company,Active,United Kingdom,,26/08/1992,64209 - Activities of other holding companies n.e.c.,,,,http://business.data.gov.uk/id/company/01000033
Crestwood Capital LIMITED,01000034,,,122 Manor Way,,Sheffield,,United Kingdom,S1 2XE,Private Limited Company,Active,United Kingdom,,09/12/2003,64209 - Activities of other holding companies n.e.c.,,,,http://business.data.gov.uk/id/company/01000034
Aldgate Ventures 4 LTD,01000035,,,100 Church Lane,,Cardiff,,United Kingdom,LS1 8BN,Private Limited Company,Active,United Kingdom,,22/06/2003,70100 - Activities of head offices,,,,http://business.data.gov.uk/id/company/01000035
Meridian Properties LLP,01000036,,,229 Queens Road,,Sheffield,,United Kingdom,W1D 2NQ,Private Limited Company,Active,United Kingdom,,26/12/1997,68209 - Other letting and operating of own or leased real estate,,,,http://business.data.gov.uk/id/company/01000036
Pinnacle Trading LLP,01000037,,,165 Mill Lane,,London,,United Kingdom,SW1A 6HP,Private Limited Company,Active,United Kingdom,,23/09/2020,47190 - Other retail sale in non-specialised stores,,,,http://business.data.gov.uk/id/company/01000037
Thornbury Holdings 19 PLC,01000038,,,175 Mill Lane,,Cardiff,,United Kingdom,B3 8GT,Private Limited Company,Dissolved,United Kingdom,,24/10/2006,70100 - Activities of head offices,,,,http://business.data.gov.uk/id/company/01000038
Camberwell Properties LLP,01000039,,,127 Church Lane,,Cardiff,,United Kingdom,EH1 7ZS,Private Limited Company,Active,United Kingdom,,15/09/2019,70100 - Activities of head offices,,,,http://business.data.gov.uk/id/company/01000039
Ashcroft Group LTD,01000040,,,15 High Street,,Edinburgh,,United Kingdom,L1 8SX,Private Limited Company,Active,United Kingdom,,13/05/1994,68209 - Other letting and operating of own or leased real estate,,,,http://business.data.gov.uk/id/company/01000040
Blackwater Resources 5 LTD,SC1000041,,,194 Manor Way,,Glasgow,,United Kingdom,SE1 3FX,Private Limited Company,Dissolved,United Kingdom,,13/03/1997,47190 - Other retail sale in non-specialised stores,,,,http://business.data.gov.uk/id/company/SC1000041
Gatehouse Capital LTD,01000042,,,141 Queens Road,,London,,United Kingdom,WC2H 8HP,Private Limited Company,Active,United Kingdom,,12/11/2003,70100 - Activities of head offices,,,,http://business.data.gov.uk/id/company/01000042
Ironbridge Capital LTD,SC1000043,,,149 Park View,,Cardiff,,United Kingdom,SW1A 3TG,Private Limited Company,Active,United Kingdom,,27/12/1998,47190 - Other retail sale in non-specialised stores,,,,http://business.data.gov.uk/id/company/SC1000043
Gatehouse Assets 38 PLC,01000044,,,112 Manor Way,,Glasgow,,United Kingdom,M1 1XF,Private Limited Company,Active,United Kingdom,,14/01/2002,82990 - Other business support service activities n.e.c.,,,,http://business.data.gov.uk/id/company/01000044
Longacre Partners LIMITED,01000045,,,71 Queens Road,,Glasgow,,United Kingdom,WC2H 1RT,Private Limited Company,Liquidation,United Kingdom,,17/09/2005,82990 - Other business support service activities n.e.c.,,,,http://business.data.gov.uk/id/company/01000045
Redwood Management LIMITED,01000046,,,116 High Street,,Manchester,,United Kingdom,N1 7YS,Private Limited Company,Active,United Kingdom,,22/10/2011,47190 - Other retail sale in non-specialised stores,,,,http://business.data.gov.uk/id/company/01000046
Kingsway Properties LTD,01000047,,,159 Church Lane,,London,,United Kingdom,WC2H 7HD,Private Limited Company,Active,United Kingdom,,10/01/2006,68209 - Other letting and operating of own or leased real estate,,,,http://business.data.gov.uk/id/company/01000047
Longacre Assets LTD,01000048,,,38 Station Road,,Manchester,,United Kingdom,G2 6RB,Private Limited Company,Active,United Kingdom,,28/09/2003,64209 - Activities of other holding companies n.e.c.,,,,http://business.data.gov.uk/id/company/01000048
Eastbrook Holdings LIMITED,01000049,,,243 Church Lane,,Leeds,,United Kingdom,LS1 2LA,Private Limited Company,Active,United Kingdom,,14/10/2008,64209 - Activities of other holding companies n.e.c.,,,,http://business.data.gov.uk/id/company/01000049
Crestwood Assets LIMITED,01000050,,,123 Victoria Road,,Birmingham,,United Kingdom,M1 2FP,Private Limited Company,Active,United Kingdom,,21/09/2017,47190 - Other retail sale in non-specialised stores,,,,http://business.data.gov.uk/id/company/01000050
Beaconsfield Enterprises LIMITED,01000051,,,4 Station Road,,Liverpool,,United Kingdom,EC1V 6UZ,Private Limited Company,Active,United Kingdom,,07/06/2013,47190 - Other retail sale in non-specialised stores,,,,http://business.data.gov.uk/id/company/01000051
Pinnacle Investments LLP,01000052,,,222 Mill Lane,,Sheffield,,United Kingdom,CF10 3FR,Private Limited Company,Active,United Kingdom,,25/12/2013,47190 - Other retail sale in non-specialised stores,,,,http://business.data.gov.uk/id/company/01000052
Ashcroft Trading LLP,01000053,,,204 Mill Lane,,Leeds,,United Kingdom,B3 2JA,Private Limited Company,Active,United Kingdom,,16/01/2001,64209 - Activities of other holding companies n.e.c.,,,,http://business.data.gov.uk/id/company/01000053
Kingsway Ventures LIMITED,SC1000054,,,22 Victoria Road,,Cardiff,,United Kingdom,SW1A 6BJ,Private Limited Company,Dissolved,United Kingdom,,22/07/2012,47190 - Other retail sale in non-specialised stores,,,,http://business.data.gov.uk/id/company/SC1000054
Fairhaven Enterprises LIMITED,01000055,,,47 High Street,,Edinburgh,,United Kingdom,M1 1ZR,Private Limited Company,Active,United Kingdom,,20/03/2018,64209 - Activities of other holding companies n.e.c.,,,,http://business.data.gov.uk/id/company/01000055
Camberwell Assets PLC,01000056,,,123 Queens Road,,Leeds,,United Kingdom,L1 3YX,Private Limited Company,Active,United Kingdom,,04/01/2003,64209 - Activities of other holding companies n.e.c.,,,,http://business.data.gov.uk/id/company/01000056
Ironbridge Resources PLC,01000057,,,235 Bridge Street,,Birmingham,,United Kingdom,M1 3WD,Private Limited Company,Active,United Kingdom,,15/10/2008,64209 - Activities of other holding companies n.e.c.,,,,http://business.data.gov.uk/id/company/01000057
Ravensworth Resources LIMITED,01000058,,,66 Manor Way,,Leeds,,United Kingdom,M1 7PT,Private Limited Company,Active,United Kingdom,,16/07/2014,68209 - Other letting and operating of own or leased real estate,,,,http://business.data.gov.uk/id/company/01000058
Ravensworth Assets LIMITED,01000059,,,185 High Street,,Glasgow,,United Kingdom,L1 7ZS,Private Limited Company,Active,United Kingdom,,02/05/1996,68209 - Other letting and operating of own or leased real estate,,,,http://business.data.gov.uk/id/company/01000059
Ludgate Management LIMITED,01000060,,,23 Park View,,Bristol,,United Kingdom,LS1 5QA,Private Limited Company,Active,United Kingdom,,27/08/2018,64209 - Activities of other holding companies n.e.c.,,,,http://business.data.gov.uk/id/company/01000060
Crestwood Properties LTD,SC1000061,,,193 Victoria Road,,Edinburgh,,United Kingdom,S1 7YJ,Private Limited Company,Active,United Kingdom,,04/07/2021,68209 - Other letting and operating of own or leased real estate,,,,http://business.data.gov.uk/id/company/SC1000061
Camberwell Resources LIMITED,01000062,,,156 Bridge Street,,London,,United Kingdom,EH1 7QS,Private Limited Company,Active,United Kingdom,,07/12/2001,70100 - Activities of head offices,,,,http://business.data.gov.uk/id/company/01000062
Harbourview Group 17 LTD,01000063,,,222 Mill Lane,,Leeds,,United Kingdom,S1 1BL,Private Limited Company,Active,United Kingdom,,10/10/2024,82990 - Other business support service activities n.e.c.,,,,http://business.data.gov.uk/id/company/01000063
Pinnacle Partners 28 LTD,01000064,,,30 Kings Avenue,,Bristol,,United Kingdom,EC1V 9NZ,Private Limited Company,Active,United Kingdom,,20/02/1993,70100 - Activities of head offices,,,,http://business.data.gov.uk/id/company/01000064
Silverline Management LIMITED,01000065,,,129 Park View,,Cardiff,,United Kingdom,G2 3LA,Private Limited Company,Dissolved,United Kingdom,,26/04/2002,70100 - Activities of head offices,,,,http://business.data.gov.uk/id/company/01000065
Longacre Ventures LIMITED,01000066,,,188 Kings Avenue,,Glasgow,,United Kingdom,BS1 5NP,Private Limited Company,Liquidation,United Kingdom,,04/06/2005,82990 - Other business support service activities n.e.c.,,,,http://business.data.gov.uk/id/company/01000066
Pinnacle Ventures PLC,01000067,,,107 Mill Lane,,Bristol,,United Kingdom,W1D 7RE,Private Limited Company,Active,United Kingdom,,15/10/2009,70100 - Activities of head offices,,,,http://business.data.gov.uk/id/company/01000067
Redwood Trading PLC,01000068,,,26 Mill Lane,,Manchester,,United Kingdom,EH1 5BW,Private Limited Company,Active,United Kingdom,,03/05/2010,82990 - Other business support service activities n.e.c.,,,,http://business.data.gov.uk/id/company/01000068
Aldgate Capital LTD,01000069,,,156 Station Road,,London,,United Kingdom,G2 2ZD,Private Limited Company,Active,United Kingdom,,23/06/2009,68209 - Other letting and operating of own or leased real estate,,,,http://business.data.gov.uk/id/company/01000069
Whitehall Assets LLP,SC1000070,,,236 Park View,,Liverpool,,United Kingdom,CF10 3SN,Private Limited Company,Dissolved,United Kingdom,,23/04/1992,68209 - Other letting and operating of own or leased real estate,,,,http://business.data.gov.uk/id/company/SC1000070
Aldgate Assets LIMITED,01000071,,,102 Church Lane,,Bristol,,United Kingdom,M1 9PZ,Private Limited Company,Active,United Kingdom,,05/02/2017,47190 - Other retail sale in non-specialised stores,,,,http://business.data.gov.uk/id/company/01000071
Fairhaven Resources LIMITED,SC1000072,,,58 High Street,,Liverpool,,United Kingdom,M1 2FX,Private Limited Company,Dissolved,United Kingdom,,05/08/2020,70100 - Activities of head offices,,,,http://business.data.gov.uk/id/company/SC1000072
Marlborough Capital LIMITED,01000073,,,151 Manor Way,,Leeds,,United Kingdom,SW1A 4SU,Private Limited Company,Active,United Kingdom,,28/02/1994,82990 - Other business support service activities n.e.c.,,,,http://business.data.gov.uk/id/company/01000073
Eastbrook Enterprises PLC,01000074,,,122 Station Road,,Manchester,,United Kingdom,SW1A 1TY,Private Limited Company,Active,United Kingdom,,14/06/2012,47190 - Other retail sale in non-specialised stores,,,,http://business.data.gov.uk/id/company/01000074
Crestwood Management PLC,01000075,,,248 Queens Road,,Birmingham,,United Kingdom,L1 7TP,Private Limited Company,Dissolved,United Kingdom,,15/10/2002,70100 - Activities of head offices,,,,http://business.data.gov.uk/id/company/01000075
Camberwell Capital LIMITED,01000076,,,73 Mill Lane,,London,,United Kingdom,SW1A 9YJ,Private Limited Company,Dissolved,United Kingdom,,15/11/2007,68209 - Other letting and operating of own or leased real estate,,,,http://business.data.gov.uk/id/company/01000076
Northgate Properties LIMITED,01000077,,,8 Kings Avenue,,Glasgow,,United Kingdom,EC1V 9NE,Private Limited Company,Active,United Kingdom,,28/05/1996,47190 - Other retail sale in non-specialised stores,,,,http://business.data.gov.uk/id/company/01000077
Redwood Partners PLC,01000078,,,76 Manor Way,,Liverpool,,United Kingdom,M1 9SE,Private Limited Company,Active,United Kingdom,,05/04/2012,82990 - Other business support service activities n.e.c.,,,,http://business.data.gov.uk/id/company/01000078
Gatehouse Group PLC,01000079,,,214 Bridge Street,,Leeds,,United Kingdom,LS1 6EL,Private Limited Company,Liquidation,United Kingdom,,16/03/1992,82990 - Other business support service activities n.e.c.,,,,http://business.data.gov.uk/id/company/01000079
Longacre Group LTD,01000080,,,170 Station Road,,Cardiff,,United Kingdom,N1 9NN,Private Limited Company,Active,United Kingdom,,27/12/2017,82990 - Other business support service activities n.e.c.,,,,http://business.data.gov.uk/id/company/01000080
Gatehouse Enterprises 26 LIMITED,01000081,,,11 Queens Road,,Leeds,,United Kingdom,SW1A 7JW,Private Limited Company,Active,United Kingdom,,13/02/2012,82990 - Other business support service activities n.e.c.,,,,http://business.data.gov.uk/id/company/01000081
Whitehall Trading LLP,SC1000082,,,35 Victoria Road,,Bristol,,United Kingdom,CF10 1SG,Private Limited Company,Active,United Kingdom,,16/08/2001,70100 - Activities of head offices,,,,http://business.data.gov.uk/id/company/SC1000082
Whitehall Management LIMITED,01000083,,,45 Church Lane,,Liverpool,,United Kingdom,SW1A 7ZN,Private Limited Company,Dissolved,United Kingdom,,05/04/2000,68209 - Other letting and operating of own or leased real estate,,,,http://business.data.gov.uk/id/company/01000083
Kingsway Capital LTD,01000084,,,23 High Street,,Sheffield,,United Kingdom,CF10 9LT,Private Limited Company,Liquidation,United Kingdom,,06/09/2003,64209 - Activities of other holding companies n.e.c.,,,,http://business.data.gov.uk/id/company/01000084
Ludgate Assets LTD,01000085,,,75 Church Lane,,Cardiff,,United Kingdom,SW1A 6AF,Private Limited Company,Dissolved,United Kingdom,,18/04/2022,47190 - Other retail sale in non-specialised stores,,,,http://business.data.gov.uk/id/company/01000085
Silverline Capital PLC,01000086,,,197 Kings Avenue,,London,,United Kingdom,EH1 4SZ,Private Limited Company,Active,United Kingdom,,16/03/2013,47190 - Other retail sale in non-specialised stores,,,,http://business.data.gov.uk/id/company/01000086
Gatehouse Assets PLC,01000087,,,25 High Street,,Glasgow,,United Kingdom,S1 3SD,Private Limited Company,Active,United Kingdom,,26/12/2003,64209 - Activities of other holding companies n.e.c.,,,,http://business.data.gov.uk/id/company/01000087
Ludgate Ventures LIMITED,01000088,,,83 Bridge Street,,Bristol,,United Kingdom,L1 3WZ,Private Limited Company,Active,United Kingdom,,09/04/1994,68209 - Other letting and operating of own or leased real estate,,,,http://business.data.gov.uk/id/company/01000088
Northgate Trading 24 LTD,01000089,,,83 Manor Way,,Leeds,,United Kingdom,G2 7BT,Private Limited Company,Active,United Kingdom,,02/05/1996,70100 - Activities of head offices,,,,http://business.data.gov.uk/id/company/01000089
Eastbrook Ventures PLC,01000090,,,153 Mill Lane,,Cardiff,,United Kingdom,EC1V 4JD,Private Limited Company,Active,United Kingdom,,28/11/2007,70100 - Activities of head offices,,,,http://business.data.gov.uk/id/company/01000090
Kingsway Partners LTD,01000091,,,213 Bridge Street,,Bristol,,United Kingdom,BS1 1NJ,Private Limited Company,Active,United Kingdom,,20/01/2011,47190 - Other retail sale in non-specialised stores,,,,http://business.data.gov.uk/id/company/01000091
Ravensworth Capital LLP,01000092,,,40 Park View,,London,,United Kingdom,SW1A 8YB,Private Limited Company,Active,United Kingdom,,02/01/1994,82990 - Other business support service activities n.e.c.,,,,http://business.data.gov.uk/id/company/01000092
Harbourview Partners PLC,01000093,,,246 High Street,,Birmingham,,United Kingdom,EC1V 7DS,Private Limited Company,Active,United Kingdom,,23/08/2009,47190 - Other retail sale in non-specialised stores,,,,http://business.data.gov.uk/id/company/01000093
Ludgate Management LLP,01000094,,,13 Bridge Street,,Bristol,,United Kingdom,WC2H 4ZX,Private Limited Company,Active,United Kingdom,,16/10/2013,64209 - Activities of other holding companies n.e.c.,,,,http://business.data.gov.uk/id/company/01000094
Gatehouse Capital 31 LTD,01000095,,,146 Queens Road,,Cardiff,,United Kingdom,W1D 9HE,Private Limited Company,Active,United Kingdom,,13/03/2021,82990 - Other business support service activities n.e.c.,,,,http://business.data.gov.uk/id/company/01000095
Thornbury Resources 26 LTD,SC1000096,,,163 High Street,,Bristol,,United Kingdom,B3 4HF,Private Limited Company,Active,United Kingdom,,11/02/2022,82990 - Other business support service activities n.e.c.,,,,http://business.data.gov.uk/id/company/SC1000096
Silverline Properties LIMITED,01000097,,,222 Mill Lane,,Glasgow,,United Kingdom,M1 9ZX,Private Limited Company,Active,United Kingdom,,13/06/2012,82990 - Other business support service activities n.e.c.,,,,http://business.data.gov.uk/id/company/01000097
Ludgate Investments PLC,01000098,,,59 Victoria Road,,Leeds,,United Kingdom,CF10 7AX,Private Limited Company,Active,United Kingdom,,11/10/2018,47190 - Other retail sale in non-specialised stores,,,,http://business.data.gov.uk/id/company/01000098
Gatehouse Management LIMITED,SC1000099,,,163 Bridge Street,,Glasgow,,United Kingdom,S1 8QA,Private Limited Company,Active,United Kingdom,,20/06/2006,70100 - Activities of head offices,,,,http://business.data.gov.uk/id/company/SC1000099
Ironbridge Assets LTD,01000100,,,159 Mill Lane,,Sheffield,,United Kingdom,BS1 3GF,Private Limited Company,Active,United Kingdom,,16/02/1994,47190 - Other retail sale in non-specialised stores,,,,http://business.data.gov.uk/id/company/01000100
Whitehall Ventures LLP,01000101,,,210 Manor Way,,London,,United Kingdom,SW1A 5PH,Private Limited Company,Active,United Kingdom,,28/05/2006,82990 - Other business support service activities n.e.c.,,,,http://business.data.gov.uk/id/company/01000101
Blackwater Trading LLP,01000102,,,188 Manor Way,,Birmingham,,United Kingdom,S1 8BH,Private Limited Company,Active,United Kingdom,,28/06/2009,64209 - Activities of other holding companies n.e.c.,,,,http://business.data.gov.uk/id/company/01000102
Beaconsfield Capital LLP,01000103,,,12 High Street,,Manchester,,United Kingdom,L1 6FP,Private Limited Company,Dissolved,United Kingdom,,23/05/2006,64209 - Activities of other holding companies n.e.c.,,,,http://business.data.gov.uk/id/company/01000103
Pinnacle Trading PLC,01000104,,,90 Victoria Road,,Leeds,,United Kingdom,G2 7GA,Private Limited Company,Dissolved,United Kingdom,,02/01/2011,64209 - Activities of other holding companies n.e.c.,,,,http://business.data.gov.uk/id/company/01000104
Ludgate Capital LIMITED,01000105,,,161 Park View,,Edinburgh,,United Kingdom,WC2H 6WL,Private Limited Company,Active,United Kingdom,,21/04/2021,82990 - Other business support service activities n.e.c.,,,,http://business.data.gov.uk/id/company/01000105
Meridian Management LTD,01000106,,,150 Park View,,Cardiff,,United Kingdom,SE1 6PF,Private Limited Company,Active,United Kingdom,,17/11/2022,70100 - Activities of head offices,,,,http://business.data.gov.uk/id/company/01000106
Camberwell Resources PLC,01000107,,,240 Manor Way,,London,,United Kingdom,W1D 5JX,Private Limited Company,Active,United Kingdom,,01/05/1994,64209 - Activities of other holding companies n.e.c.,,,,http://business.data.gov.uk/id/company/01000107
Whitehall Investments 22 LTD,SC1000108,,,58 Queens Road,,Birmingham,,United Kingdom,EC1V 8FJ,Private Limited Company,Active,United Kingdom,,25/01/1990,47190 - Other retail sale in non-specialised stores,,,,http://business.data.gov.uk/id/company/SC1000108
Redwood Investments PLC,01000109,,,146 Kings Avenue,,Sheffield,,United Kingdom,SW1A 1RU,Private Limited Company,Active,United Kingdom,,03/10/2018,70100 - Activities of head offices,,,,http://business.data.gov.uk/id/company/01000109
Gatehouse Properties 38 LIMITED,01000110,,,125 Manor Way,,London,,United Kingdom,SW1A 4EE,Private Limited Company,Active,United Kingdom,,14/08/1997,82990 - Other business support service activities n.e.c.,,,,http://business.data.gov.uk/id/company/01000110
Aldgate Capital 7 LIMITED,01000111,,,246 High Street,,Bristol,,United Kingdom,EH1 3QX,Private Limited Company,Active,United Kingdom,,17/07/2023,70100 - Activities of head offices,,,,http://business.data.gov.uk/id/company/01000111
Gatehouse Holdings LTD,01000112,,,104 Station Road,,Leeds,,United Kingdom,L1 2PR,Private Limited Company,Active,United Kingdom,,13/07/2002,47190 - Other retail sale in non-specialised stores,,,,http://business.data.gov.uk/id/company/01000112
Pinnacle Resources 19 LLP,01000113,,,80 Queens Road,,London,,United Kingdom,BS1 2ZJ,Private Limited Company,Active,United Kingdom,,26/05/1996,70100 - Activities of head offices,,,,http://business.data.gov.uk/id/company/01000113
Eastbrook Partners PLC,01000114,,,177 Kings Avenue,,Liverpool,,United Kingdom,N1 9BA,Private Limited Company,Active,United Kingdom,,03/02/1993,47190 - Other retail sale in non-specialised stores,,,,http://business.data.gov.uk/id/company/01000114
Silverline Capital 9 LTD,01000115,,,190 Park View,,Cardiff,,United Kingdom,W1D 8XB,Private Limited Company,Active,United Kingdom,,18/07/2000,68209 - Other letting and operating of own or leased real estate,,,,http://business.data.gov.uk/id/company/01000115
